"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田2","Ⅱ-1315","140.240992640684","35.7780809829955","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田2","Ⅱ-1315","140.241184132623","35.7783738037366","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田6","Ⅱ-1316","140.243470479776","35.7806581748966","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田6","Ⅱ-1316","140.243383167101","35.7810170795472","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田8","Ⅱ-1318","140.244434085206","35.7792452503762","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸16","Ⅱ-1348","140.215371702541","35.7718046262827","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸16","Ⅱ-1348","140.214917301737","35.7724330722078","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸17","Ⅱ-1349","140.218245857438","35.7665180479295","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸18","Ⅱ-1350","140.21919320242","35.7694159663487","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸19","Ⅱ-1351","140.219465061067","35.7658272520886","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸19","Ⅱ-1351","140.219400815206","35.7662619486879","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸20","Ⅱ-1352","140.22067330656","35.7674893397637","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸21","Ⅱ-1353","140.221406932759","35.7682814831432","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸22","Ⅱ-1354","140.221725355869","35.7697327271731","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸22","Ⅱ-1354","140.221392941765","35.7699989348643","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸22","Ⅱ-1354","140.221808454856","35.7701520004064","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸23","Ⅱ-1355","140.221614841907","35.7654519415744","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸24","Ⅱ-1356","140.222189509892","35.7646799516277","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","瀬戸24","Ⅱ-1356","140.222889037616","35.7650737583791","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田12","Ⅱ-1358","140.227850035983","35.763229094625","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田12","Ⅱ-1358","140.228551490874","35.7626447917909","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田12","Ⅱ-1358","140.228915100829","35.7626888488437","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田14","Ⅱ-1360","140.230551491516","35.7694175856787","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田14","Ⅱ-1360","140.23079461267","35.7697132271805","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田15","Ⅱ-1361","140.232447649255","35.7649712546054","土砂災害警戒区域"
"指定済警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第143号","印西市","急傾斜地の崩壊","山田15","Ⅱ-1361","140.232068234949","35.7648506350028","土砂災害警戒区域"
