"全国地方公共団体コード","法人番号","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字以下","建物名等","設置者","電話番号","内線電話","連絡先メールアドレス","連絡先FORMURL","連絡先備考SNSなど","郵便番号","SSID","提供エリア","URL","備考","経度","緯度","分類"
"122319","","","印西市","印旛公民館","インバコウミンカン","","122319","47000","千葉県印西市瀬戸1518","千葉県","印西市","瀬戸1518","","印西市","","","","","","","","","","","140.223052999975","35.7803759999764","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","内野保育園","ウチノホイクエン","","122319","9001","千葉県印西市内野1-12","千葉県","印西市","内野1-12","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.124443000011","35.7967939998667","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","木刈保育園","キカリホイクエン","","122319","29006","千葉県印西市木刈6-23","千葉県","印西市","木刈6-23","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.104470000048","35.8077879999064","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","高花保育園","タカバナホイクエン","","122319","53001","千葉県印西市高花1-10","千葉県","印西市","高花1-10","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.137303000089","35.7967459998655","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","西の原保育園","ニシノハラホイクエン","","122319","70003","千葉県印西市西の原3-7","千葉県","印西市","西の原3-7","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.155191999977","35.8029519998638","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","もとの保育園","モトノホイクエン","","122319","55003","千葉県印西市滝野3-2","千葉県","印西市","滝野3-2","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.178356000064","35.8075109998862","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","瀬戸幼稚園","セトヨウチエン","","122319","47000","千葉県印西市瀬戸1580","千葉県","印西市","瀬戸1580","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.227412000034","35.7772999999318","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","もとの幼稚園","モトノヨウチエン","","122319","69000","千葉県印西市中根1403-10","千葉県","印西市","中根1403-10","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.199267999942","35.8112039999966","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","木下小学校","キオロシショウガッコウ","","122319","26000","千葉県印西市木下1502","千葉県","印西市","木下1502","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.154430000018","35.8390079998618","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","小林小学校","コバヤシショウガッコウ","","122319","34000","千葉県印西市小林2448-2","千葉県","印西市","小林2448-2","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.187443700017","35.8312148899196","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","大森小学校","オオモリショウガッコウ","","122319","15000","千葉県印西市大森3350","千葉県","印西市","大森3350","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.140869999962","35.8365249999183","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","船穂小学校","フナホショウガッコウ","","122319","81000","千葉県印西市船尾1292","千葉県","印西市","船尾1292","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.128939999979","35.7836488299337","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","木刈小学校","キカリショウガッコウ","","122319","29002","千葉県印西市木刈2-6","千葉県","印西市","木刈2-6","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.106605900006","35.8103171799085","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","内野小学校","ウチノショウガッコウ","","122319","9002","千葉県印西市内野1-1","千葉県","印西市","内野1-1","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.125250700038","35.7979597798673","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","原山小学校","ハラヤマショウガッコウ","","122319","75003","千葉県印西市原山3-4","千葉県","印西市","原山3-4","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.13058010009","35.7996464798585","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","小林北小学校","コバヤシキタショウガッコウ","","122319","35005","千葉県印西市小林北5-1-5","千葉県","印西市","小林北5-1-5","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.198887900091","35.8318134798866","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","小倉台小学校","オグラダイショウガッコウ","","122319","17002","千葉県印西市小倉台2-3","千葉県","印西市","小倉台2-3","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.110045000165","35.8042689998469","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","高花小学校","タカバナショウガッコウ","","122319","53002","千葉県印西市高花2-4","千葉県","印西市","高花2-4","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.13845300007","35.7971769998658","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","西の原小学校","ニシノハラショウガッコウ","","122319","70002","千葉県印西市西の原2-7","千葉県","印西市","西の原2-7","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.152275999965","35.8002548598703","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","原小学校","ハラヤマショウガッコウ","","122319","74003","千葉県印西市原3-5","千葉県","印西市","原3-5","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.16374000002","35.7995179998953","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","六合小学校","ロクゴウショウガッコウ","","122319","47000","千葉県印西市瀬戸1580","千葉県","印西市","瀬戸1580","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.227734000039","35.7776709999298","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","旧宗像小学校","キュウムナカタショウガッコウ","","122319","7000","千葉県印西市岩戸1680","千葉県","印西市","岩戸1680","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.168598599987","35.7634482199382","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","平賀小学校","ヒラカショウガッコウ","","122319","78000","千葉県印西市平賀1161-2","千葉県","印西市","平賀1161-2","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.247037499953","35.7550571198894","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","いには野小学校","イニハノショウガッコウ","","122319","110003","千葉県印西市若萩3-9","千葉県","印西市","若萩3-9","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.208273999943","35.7897309998621","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","本埜小学校","モトノショウガッコウ","","122319","69000","千葉県印西市中根1281-2","千葉県","印西市","中根1281-2","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.19501460001","35.8067348198845","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","旧本埜第二小学校","キュウモトノダイニショウガッコウ","","122319","21000","千葉県印西市笠神1745","千葉県","印西市","笠神1745","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.214783200051","35.8273208498274","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","滝野小学校","タキノショウガッコウ","","122319","55005","千葉県印西市滝野5-1","千葉県","印西市","滝野5-1","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.175862000079","35.8084439998821","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","牧の原小学校","マキノハラショウガッコウ","","122319","87003","千葉県印西市牧の原3-1-1","千葉県","印西市","牧の原3-1-1","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.160408400075","35.8121603499335","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","印西中学校","インザイチュウガッコウ","","122319","15000","千葉県印西市大森2244","千葉県","印西市","大森2244","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.148324000038","35.8282819998816","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","船穂中学校","フナホチュウガッコウ","","122319","53001","千葉県印西市高花1-3","千葉県","印西市","高花1-3","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.132313800113","35.7952438098634","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","木刈中学校","キカリチュウガッコウ","","122319","29002","千葉県印西市木刈2-1","千葉県","印西市","木刈2-1","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.109968000108","35.8070719998721","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","小林中学校","コバヤシチュウガッコウ","","122319","37001","千葉県印西市小林大門下1-4-1","千葉県","印西市","小林大門下1-4-1","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.186538999965","35.823228999896","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","原山中学校","ハラヤマチュウガッコウ","","122319","75001","千葉県印西市原山1-2","千葉県","印西市","原山1-2","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.127309700066","35.7989122798649","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","西の原中学校","ニシノハラチュウガッコウ","","122319","70001","千葉県印西市西の原1-3","千葉県","印西市","西の原1-3","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.156366999989","35.8032029998639","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","印旛中学校","インバチュウガッコウ","","122319","84002","千葉県印西市舞姫2-1-1","千葉県","印西市","舞姫2-1-1","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.204819500002","35.7850703299569","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","本埜中学校","モトノチュウガッコウ","","122319","21000","千葉県印西市笠神250","千葉県","印西市","笠神250","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.199014999983","35.8164599999836","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","滝野中学校","タキノチュウガッコウ","","122319","55005","千葉県印西市滝野5-2","千葉県","印西市","滝野5-2","","印西市","","","","","","","","","","敷地内の無断立ち入り禁止","140.175092000085","35.8081419998825","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","中央駅北コミュニティセンター","チュウオウエキキタコミュニティセンター","","122319","29004","千葉県印西市木刈4-3-1","千葉県","印西市","木刈4-3-1","","印西市","","","","","","","","","","","140.104955000024","35.8090179999073","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","中央駅南コミュニティセンター","チュウオウエキミナミコミュニティセンター","","122319","75003","千葉県印西市原山3-3","千葉県","印西市","原山3-3","","印西市","","","","","","","","","","","140.129427000081","35.7987899998614","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","永治コミュニティセンター","エイジコミュニティセンター","","122319","11000","千葉県印西市浦部411-3","千葉県","印西市","浦部411-3","","印西市","","","","","","","","","","","140.10911300009","35.8252429998762","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
"122319","","","印西市","船穂コミュニティセンター（出張所含む）","フナホコミュニティセンター（シュッチョウジョフクム）","","122319","81000","千葉県印西市船尾786-1","千葉県","印西市","船尾786-1","","印西市","","","","","","","","","","","140.129416999962","35.7815799999377","オープンデータ_公衆無線ＬＡＮアクセスポイント一覧"
