OBJECTID,投票区名,投票所名,設置番号,投票区名ー設置番号,住所,世界_10進_X,世界_10進_Y,設置場所名
71,第10投票区,小倉台小学校体育館,2,第１０投票区ー２,印西市小倉台1-2,140.1121153,35.80463404,大塚前公園西側
72,第10投票区,小倉台小学校体育館,3,第１０投票区ー３,印西市小倉台4-4,140.1127777,35.80627466,小倉台東児童公園西側
73,第10投票区,小倉台小学校体育館,4,第１０投票区ー４,印西市小倉台2-3,140.1092093,35.80475553,小倉台小学校北側
74,第10投票区,小倉台小学校体育館,5,第１０投票区ー５,印西市木刈2-1,140.19802,35.86619,木刈中学校前
75,第10投票区,小倉台小学校体育館,6,第１０投票区ー６,印西市小倉台2-3,140.1106305,35.80398022,小倉台小学校南側
76,第10投票区,小倉台小学校体育館,7,第１０投票区ー７,印西市小倉台4-102,140.1153215,35.80824852,ファーストスクエア小倉台北側
77,第11投票区,内野小学校体育館,1,第１１投票区ー１,印西市原山1-12-1,140.1235009,35.79869726,北総花の丘公園入口
78,第11投票区,内野小学校体育館,2,第１１投票区ー２,印西市内野1-1,140.1254753,35.79851131,内野小学校北側
79,第11投票区,内野小学校体育館,3,第１１投票区ー３,印西市内野1-12,140.1242806,35.79681733,内野保育園前
80,第11投票区,内野小学校体育館,4,第１１投票区ー４,印西市内野2-8,140.1256675,35.7945651,内野南児童公園東側
81,第11投票区,内野小学校体育館,5,第１１投票区ー５,印西市内野1-10-1,140.1279899,35.79493883,多々羅田公園南側
82,第11投票区,内野小学校体育館,6,第１１投票区ー６,印西市内野1-10-1,140.1271242,35.79645184,多々羅田公園東側
83,第11投票区,内野小学校体育館,7,第１１投票区ー７,印西市内野2‐6‐3,140.12389,35.791701,内野南第２団地入口
84,第12投票区,原山小学校体育館,1,第１２投票区ー１,印西市原山3-4,140.1299524,35.80009157,原山小学校北側
85,第12投票区,原山小学校体育館,2,第１２投票区ー２,印西市原山3-8,140.1329241,35.79812633,企業庁跡地前
86,第12投票区,原山小学校体育館,3,第１２投票区ー３,印西市原山3-4,140.131287,35.79970294,原山小学校東側
87,第12投票区,原山小学校体育館,4,第１２投票区ー４,印西市原山1-2,140.1285169,35.79845016,原山中学校裏門隣
88,第13投票区,高花小学校体育館,8,第１３投票区ー８,印西市高花1-24,140.1366623,35.79844602,高花北街区公園南側
89,第12投票区,原山小学校体育館,5,第１２投票区ー５,印西市原山1-6,140.1282599,35.8008724,原山北街区公園南側
90,第12投票区,原山小学校体育館,6,第１２投票区ー６,印西市原山1-10,140.1289257,35.79703769,原山南児童公園南側
91,第13投票区,高花小学校体育館,1,第１３投票区ー１,印西市高花1-3,140.1331587,35.79521182,船穂中学校前
92,第13投票区,高花小学校体育館,2,第１３投票区ー２,印西市高花4-8-1,140.1409268,35.79370073,高花中児童公園南側
93,第13投票区,高花小学校体育館,3,第１３投票区ー３,印西市高花5-4,140.1380528,35.79586264,高花公園東側
94,第13投票区,高花小学校体育館,4,第１３投票区ー４,印西市高花2-4,140.1391797,35.79766743,高花小学校前
95,第13投票区,高花小学校体育館,5,第１３投票区ー５,印西市高花2-5,140.1419563,35.79774871,高花東街区公園東側
96,第13投票区,高花小学校体育館,6,第１３投票区ー６,印西市高花6-28,140.1427772,35.79067794,高花南児童公園東側
97,第13投票区,高花小学校体育館,7,第１３投票区ー７,印西市高花1-7,140.133457,35.79593713,高花西児童公園西側
98,第14投票区,西の原小学校体育館,1,第１４投票区ー１,印西市西の原2-7,140.1520869,35.80099411,西の原小学校北側
99,第14投票区,西の原小学校体育館,2,第１４投票区ー２,印西市西の原2-1,140.1589242,35.80081742,西の原東街区公園東側
100,第14投票区,西の原小学校体育館,3,第１４投票区ー３,印西市別所71−1,140.1544036,35.80790144,牧の原学校給食センター前
101,第14投票区,西の原小学校体育館,4,第１４投票区ー４,印西市西の原3-8,140.1557291,35.80258183,西の原北街区公園東側
102,第14投票区,西の原小学校体育館,5,第１４投票区ー５,印西市西の原1-4,140.1577405,35.80134517,西の原公園南側
103,第14投票区,西の原小学校体育館,6,第１４投票区ー６,印西市西の原1-3,140.1575699,35.80368386,西の原中学校北側
104,第14投票区,西の原小学校体育館,7,第１４投票区ー７,印西市西の原3-13,140.1533031,35.80106419,西の原西街区公園南側
105,第15投票区,そうふけ公民館多目的室,1,第１５投票区ー１,印西市原2-6,140.1619924,35.80077311,原西街区公園南側
106,第15投票区,そうふけ公民館多目的室,2,第１５投票区ー２,印西市原2-4,140.1665316,35.80117836,草深公園北側
107,第15投票区,そうふけ公民館多目的室,3,第１５投票区ー３,印西市原1-101,140.1668573,35.80297684,印西牧の原駅南側ロータリー
108,第15投票区,そうふけ公民館多目的室,4,第１５投票区ー４,印西市原4-3-1,140.162391,35.79882316,原南街区公園南側
109,第15投票区,そうふけ公民館多目的室,5,第１５投票区ー５,印西市原3-4,140.1651467,35.80004334,そうふけ公民館前
110,第15投票区,そうふけ公民館多目的室,6,第１５投票区ー６,印西市原3-1,140.1683124,35.79921146,原東街区公園東側
111,第15投票区,そうふけ公民館多目的室,7,第１５投票区ー７,印西市東の原3-105,140.1724301,35.7976587,東の原公園北側
112,第15投票区,そうふけ公民館多目的室,8,第１５投票区ー８,印西市東の原2-106,140.1724176,35.79927934,東の原街区公園北側
113,第16投票区,六合小学校体育館,1,第１６投票区ー１,印西市美瀬1080,140.2206742,35.7745433,瀬戸構造改善センター前
114,第16投票区,六合小学校体育館,2,第１６投票区ー２,印西市瀬戸1388地先,140.2262415,35.77638298,松田敏郎畑地東側
115,第16投票区,六合小学校体育館,3,第１６投票区ー３,印西市瀬戸1504-1地先,140.2209939,35.77938115,印旛中央公園入口
116,第16投票区,六合小学校体育館,4,第１６投票区ー４,印西市山田875-2,140.2398222,35.77392457,宮後構造改善センター向い
117,第16投票区,六合小学校体育館,5,第１６投票区ー５,印西市山田93-1,140.2360883,35.77112954,仲井構造改善センター前
118,第16投票区,六合小学校体育館,6,第１６投票区ー６,印西市山田3273番地先,140.2335747,35.76761393,仲井青年館跡前
119,第16投票区,六合小学校体育館,7,第１６投票区ー７,印西市吉高854,140.2350482,35.7882696,吉高構造改善センター脇
120,第16投票区,六合小学校体育館,8,第１６投票区ー８,印西市吉高3258番地先,140.2263209,35.79285422,一本松地区入口
121,第16投票区,六合小学校体育館,9,第１６投票区ー９,印西市萩原1404-2,140.2104009,35.79925144,萩原構造改善センター入口
122,第16投票区,六合小学校体育館,10,第１６投票区ー１０,印西市松虫７,140.2146403,35.78942916,松虫構造改善センター前
123,第17投票区,印旛西部公園管理棟ホール,1,第１７投票区ー１,印西市岩戸1616-1,140.1699345,35.76629107,岩戸構造改善センター前
124,第17投票区,印旛西部公園管理棟ホール,2,第１７投票区ー２,印西市岩戸2878-2,140.1643857,35.7630745,印旛西部公園前
125,第17投票区,印旛西部公園管理棟ホール,3,第１７投票区ー３,印西市師戸1486-1,140.184163,35.760516,広福寺前
126,第17投票区,印旛西部公園管理棟ホール,4,第１７投票区ー４,印西市師戸3315-4,140.1915417,35.76250381,渡辺文秀宅はす向かい
127,第17投票区,印旛西部公園管理棟ホール,5,第１７投票区ー５,印西市鎌苅590-1,140.189761,35.77399134,鎌苅構造改善センター前
128,第17投票区,印旛西部公園管理棟ホール,6,第１７投票区ー６,印西市造谷658-3地先,140.176104,35.78905,酢崎材木店脇
129,第17投票区,印旛西部公園管理棟ホール,7,第１７投票区ー７,印西市岩戸3245-2地先,140.173151,35.77268551,カーピカランド岩戸前
130,第17投票区,印旛西部公園管理棟ホール,8,第１７投票区ー８,印西市大廻269-3地先,140.1819749,35.77955838,大廻鳩谷伸一宅脇
131,第17投票区,印旛西部公園管理棟ホール,9,第１７投票区ー９,印西市吉田1600-1地先,140.1544431,35.76474919,吉田宗像神社前
132,第17投票区,印旛西部公園管理棟ホール,10,第１７投票区ー１０,印西市吉田821,140.1524383,35.76690242,万福寺前
133,第18投票区,平賀小学校体育館,1,第１８投票区ー１,印西市平賀2613-2地先,140.2463479,35.7656618,平賀深山宅脇
134,第18投票区,平賀小学校体育館,2,第１８投票区ー２,印西市平賀821-2,140.2457337,35.76062604,平賀四角脇
135,第18投票区,平賀小学校体育館,3,第１８投票区ー３,印西市平賀870-2,140.2450562,35.75764224,平賀構造改善センター隣
136,第18投票区,平賀小学校体育館,4,第１８投票区ー４,印西市平賀3834,140.2530744,35.75147608,仲の台バス停脇
137,第18投票区,平賀小学校体育館,5,第１８投票区ー５,印西市平賀1200-2地先,140.2499664,35.75443813,学園台入口交差点脇
138,第18投票区,平賀小学校体育館,6,第１８投票区ー６,印西市平賀学園台2-21-3,140.249725,35.7501445,さざなみ第2公園前
139,第18投票区,平賀小学校体育館,7,第１８投票区ー７,印西市平賀3722,140.2595535,35.74721522,順天堂大学入口
140,第19投票区,ふれあいセンターいんば３階会議室,1,第１９投票区ー１,印西市美瀬1-25,140.2048247,35.77947325,印旛支所前
141,第19投票区,ふれあいセンターいんば３階会議室,2,第１９投票区ー２,印西市鎌苅1715,140.2022556,35.78228096,日本医大千葉北総病院入口
142,第19投票区,ふれあいセンターいんば３階会議室,3,第１９投票区ー３,印西市美瀬146,140.205544,35.781535,美瀬の林公園前
143,第19投票区,ふれあいセンターいんば３階会議室,4,第１９投票区ー４,印西市舞姫2-1-1,140.204078,35.786049,印旛中学校前
144,第19投票区,ふれあいセンターいんば３階会議室,5,第１９投票区ー５,印西市若萩3-114,140.208149,35.788122,若萩の丘公園前
145,第19投票区,ふれあいセンターいんば３階会議室,6,第１９投票区ー６,印西市若萩1-3,140.20472,35.788553,エストリオいには野前
146,第19投票区,ふれあいセンターいんば３階会議室,7,第１９投票区ー７,印西市舞姫2-2,140.204421,35.782885,ウェルガーデンA棟前
147,第20投票区,本埜支所３階多目的スペース,1,第２０投票区ー１,印西市笠神2587,140.2022296,35.81642743,本埜支所前
148,第20投票区,本埜支所３階多目的スペース,2,第２０投票区ー２,印西市笠神2346-3番地先,140.2034738,35.81512508,小手正治宅前
149,第20投票区,本埜支所３階多目的スペース,3,第２０投票区ー３,印西市笠神781番地先,140.205958,35.817561,笠神旧消防小屋前
150,第20投票区,本埜支所３階多目的スペース,4,第２０投票区ー４,印西市行徳21,140.2091106,35.81325604,一区コミュニティセンター前
151,第20投票区,本埜支所３階多目的スペース,5,第２０投票区ー５,印西市中根187,140.2017636,35.80376573,辺田前コミュニティセンター前
152,第20投票区,本埜支所３階多目的スペース,6,第２０投票区ー６,印西市荒野469-2地先,140.1972325,35.79665708,荒野コミュニティセンター向い
153,第20投票区,本埜支所３階多目的スペース,7,第２０投票区ー７,印西市角田2地先,140.1921052,35.7870147,角田栄福寺入口
154,第20投票区,本埜支所３階多目的スペース,8,第２０投票区ー８,印西市竜腹寺478-1地先,140.188392,35.804805,五十嵐花園北側畑地
155,第20投票区,本埜支所３階多目的スペース,9,第２０投票区ー９,印西市中根856-8,140.2026414,35.81114036,旧本埜村元商工会前
156,第20投票区,本埜支所３階多目的スペース,10,第２０投票区ー１０,印西市滝1008-2,140.1799734,35.81766872,滝青年館前
157,第20投票区,本埜支所３階多目的スペース,11,第２０投票区ー１１,印西市物木230番地先,140.1915216,35.82034496,諏訪神社入口
158,第21投票区,旧本埜第二小学校体育館,1,第２１投票区ー１,印西市佐野屋82番地先,140.212431,35.82958,古川橋脇
159,第21投票区,旧本埜第二小学校体育館,2,第２１投票区ー２,印西市笠神1747-15地先,140.2155573,35.82736691,旧本埜第二小学校北側
160,第21投票区,旧本埜第二小学校体育館,3,第２１投票区ー３,印西市酒直ト杭76,140.227027,35.82541185,青木隆治宅前
161,第21投票区,旧本埜第二小学校体育館,4,第２１投票区ー４,印西市下井338,140.2371273,35.82015844,和青年館前
162,第21投票区,旧本埜第二小学校体育館,5,第２１投票区ー５,印西市安食卜杭102-1地先,140.2169241,35.83630085,内藤一宅前
163,第21投票区,旧本埜第二小学校体育館,6,第２１投票区ー６,印西市将監235-4地先,140.2077384,35.83230221,大瀧神社前
164,第21投票区,旧本埜第二小学校体育館,7,第２１投票区ー７,印西市物木419番地先,140.2053738,35.83080724,旧村総合グラウンド前
165,第22投票区,本埜ファミリア館ロビー,1,第２２投票区ー１,印西市滝野18,140.178822,35.810162,みのりの広場公園北側
166,第22投票区,本埜ファミリア館ロビー,2,第２２投票区ー２,印西市草深1612-5,140.171621,35.81101,牧の原公園東側
167,第22投票区,本埜ファミリア館ロビー,3,第２２投票区ー３,印西市滝野3-4,140.1774015,35.80687043,本埜ファミリア館前
168,第22投票区,本埜ファミリア館ロビー,4,第２２投票区ー４,印西市滝野5-1,140.1763543,35.80903389,滝野小学校前
169,第22投票区,本埜ファミリア館ロビー,5,第２２投票区ー５,印西市滝野6-143,140.174502,35.810295,滝の杜公園東側
170,第22投票区,本埜ファミリア館ロビー,6,第２２投票区ー６,印西市牧の原3-109,140.1588649,35.80776457,牧の原西街区公園南側
171,第22投票区,本埜ファミリア館ロビー,7,第２２投票区ー７,印西市牧の原3-1-1,140.1616976,35.81202774,牧の原小学校東側
172,第22投票区,本埜ファミリア館ロビー,8,第２２投票区ー８,印西市牧の原5-108,140.1675159,35.80595796,牧の原公園南側
173,第22投票区,本埜ファミリア館ロビー,9,第２２投票区ー９,印西市牧の原5-3035-25,140.1668082,35.80996901,牧の原東街区公園北側
174,第23投票区,中央駅前地域交流館レクリエーションホール,1,第２３投票区ー１,印西市中央北1-3-3,140.1172464,35.80316606,印西西消防署向い
175,第23投票区,中央駅前地域交流館レクリエーションホール,2,第２３投票区ー２,印西市中央北1-106,140.1160563,35.80115816,千葉ニュータウン中央駅北口
176,第23投票区,中央駅前地域交流館レクリエーションホール,3,第２３投票区ー３,印西市中央南1-2,140.1191637,35.8001302,中央駅前地域交流館前
177,第23投票区,中央駅前地域交流館レクリエーションホール,4,第２３投票区ー４,印西市武西学園台1-2,140.1122811,35.79732863,武西学園台街区公園東側
178,第23投票区,中央駅前地域交流館レクリエーションホール,5,第２３投票区ー５,印西市戸神台2-3-1,140.1163887,35.79584967,戸神台西街区公園東側
179,第23投票区,中央駅前地域交流館レクリエーションホール,6,第２３投票区ー６,印西市戸神台1-2-5,140.1200037,35.79693322,戸神台東街区公園西側
180,第23投票区,中央駅前地域交流館レクリエーションホール,7,第２３投票区ー７,印西市中央南１-436-3,140.116397,35.79943794,千葉ニュータウン中央駅南口
181,第23投票区,中央駅前地域交流館レクリエーションホール,8,第２３投票区ー８,印西市中央北2-1-1,140.1144692,35.8005793,千葉ニュータウン中央駅北口自転車駐車場前
