"レイヤ名","事務所","告示年月日","告示番号","市町村名","現象","箇所名","箇所番号","経度","緯度","分類"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田2","Ⅱ-1315","140.240055066973","35.7777397952352","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田2","Ⅱ-1315","140.241024482349","35.7780737703885","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田2","Ⅱ-1315","140.241179271002","35.7784002057257","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田6","Ⅱ-1316","140.243496799832","35.7806433428072","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田6","Ⅱ-1316","140.243433560562","35.7810401209763","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田8","Ⅱ-1318","140.24445567618","35.7792121108474","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸16","Ⅱ-1348","140.215320607258","35.7718258184682","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸16","Ⅱ-1348","140.214926497983","35.7724308417036","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸17","Ⅱ-1349","140.218305718988","35.7665776122531","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸18","Ⅱ-1350","140.219212658284","35.7694008565538","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸19","Ⅱ-1351","140.219453483698","35.7657838938939","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸19","Ⅱ-1351","140.219421649613","35.7662364820952","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸20","Ⅱ-1352","140.220718533577","35.7674550310884","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸21","Ⅱ-1353","140.221470596511","35.768231418655","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸22","Ⅱ-1354","140.221708862361","35.7697628734383","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸22","Ⅱ-1354","140.221455969236","35.7700082782044","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸22","Ⅱ-1354","140.221820962741","35.7701455954697","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸23","Ⅱ-1355","140.221639736867","35.7654675073188","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸24","Ⅱ-1356","140.222210119616","35.7646548898754","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","瀬戸24","Ⅱ-1356","140.222910653658","35.7650151276623","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田12","Ⅱ-1358","140.227823609025","35.7632139035208","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田12","Ⅱ-1358","140.228574517973","35.762655285106","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田12","Ⅱ-1358","140.228885482209","35.7626786951451","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田14","Ⅱ-1360","140.230587510754","35.76945762428","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田14","Ⅱ-1360","140.230849596839","35.7696889150311","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田15","Ⅱ-1361","140.232381081053","35.7649209926383","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田15","Ⅱ-1361","140.232008775628","35.76483345148","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田16","Ⅱ-1362","140.232708672167","35.7688307726623","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田17","Ⅱ-1363","140.235878071644","35.7679631184391","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.236872050488","35.7676974609031","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.23711851562","35.767505334885","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.237473840083","35.7679435886125","土砂災害特別警戒区域"
"指定済特別警戒区域（急傾斜地の崩壊）","印旛土木事務所","R1.8.6","千第145号","印西市","急傾斜地の崩壊","山田18","Ⅱ-1364","140.237775088467","35.7679038335528","土砂災害特別警戒区域"
